mode,k,alpha,gate,used,use_frac,neighbor_dist_med,base_pos_mean,method_pos_mean,base_pos_med,method_pos_med,base_pos_p95,method_pos_p95,pos_impr_mean_pct,pos_impr_med_pct,pos_success_frac,pos_unsafe_frac,base_vel_mean,method_vel_mean,base_vel_med,method_vel_med,base_vel_p95,method_vel_p95,vel_impr_mean_pct,vel_impr_med_pct,vel_success_frac,vel_unsafe_frac,any_unsafe_frac,both_success_frac,pos_ratio_p95,vel_ratio_p95
hybrid26,40,0.5,vr<-0.40,237,0.5511627906976744,3.0099584426507997,0.0256006014762614,0.023087674910074366,0.006870118122986404,0.005844634975569422,0.09209041027083548,0.0875143349380921,9.81588877322741,14.926717838895176,0.5232558139534884,0.002325581395348837,0.1194582466397035,0.11352250424959065,0.02202055897654521,0.017957110946773196,0.5671814169533762,0.5556344574793237,4.968884574386534,18.452974032585267,0.5116279069767442,0.004651162790697674,0.004651162790697674,0.5023255813953489,1.0,1.0
xrel18,5,0.25,vr<-0.40,237,0.5511627906976744,1.6110585329736966,0.0256006014762614,0.023486861234191428,0.006870118122986404,0.00588147776841831,0.09209041027083548,0.0863220064028166,8.256603830304432,14.390441865333415,0.5302325581395348,0.0,0.1194582466397035,0.11448199235355752,0.02202055897654521,0.01872757446951382,0.5671814169533762,0.5627524455380134,4.165685020603727,14.954136770727978,0.5255813953488372,0.0,0.0,0.5116279069767442,1.0,1.0
xrel18,10,0.25,vr<-0.40,237,0.5511627906976744,1.7872060966623877,0.0256006014762614,0.023773326455400222,0.006870118122986404,0.006129555274137384,0.09209041027083548,0.08799452031675879,7.137625350543231,10.779477668239878,0.5325581395348837,0.0,0.1194582466397035,0.11501354265713382,0.02202055897654521,0.018436090229233613,0.5671814169533762,0.5538345428584103,3.7207175792352776,16.277828147457683,0.5279069767441861,0.0,0.0,0.5162790697674419,1.0,1.0
hybrid26,20,1.0,full,430,1.0,2.699501591446031,0.0256006014762614,0.019104502706863515,0.006870118122986404,0.004117113037113656,0.09209041027083548,0.08048192474266905,25.37478963305415,40.072165231942634,0.7976744186046512,0.037209302325581395,0.1194582466397035,0.10734326490944261,0.02202055897654521,0.011674917376535593,0.5671814169533762,0.5676688237105167,10.141603506705344,46.98173925116562,0.7116279069767442,0.10697674418604651,0.11162790697674418,0.6395348837209303,1.7143499261449948,3.2904173307185576
hybrid26,10,0.5,full,430,1.0,2.438456032806942,0.0256006014762614,0.021341784992252425,0.006870118122986404,0.00484541065904566,0.09209041027083548,0.0817811138250194,16.63561103420963,29.47121763694821,0.8697674418604651,0.018604651162790697,0.1194582466397035,0.1113907237118041,0.02202055897654521,0.017036117300990812,0.5671814169533762,0.5555447983802612,6.753424861685575,22.635400313241284,0.7767441860465116,0.046511627906976744,0.046511627906976744,0.7302325581395349,1.1986798955869504,1.873002296710092
hybrid26,20,0.75,full,430,1.0,2.699501591446031,0.0256006014762614,0.02044355125084092,0.006870118122986404,0.004647810293459004,0.09209041027083548,0.07904210534994113,20.14425415044424,32.3474471580319,0.8302325581395349,0.023255813953488372,0.1194582466397035,0.10938376892507007,0.02202055897654521,0.013991131895184292,0.5671814169533762,0.5522609070825643,8.433471943564463,36.463320889870744,0.7511627906976744,0.07441860465116279,0.08139534883720931,0.686046511627907,1.3593635573565852,2.3852657200244316
hybrid26,5,0.25,vr<-0.40,237,0.5511627906976744,2.1543533092658445,0.0256006014762614,0.023382488006415812,0.006870118122986404,0.006362809848295981,0.09209041027083548,0.08527995327714057,8.664302172362515,7.384272957302496,0.5162790697674419,0.0,0.1194582466397035,0.11476033122765852,0.02202055897654521,0.018907648104022415,0.5671814169533762,0.5462492117014293,3.9326840500298776,14.136384438916616,0.5209302325581395,0.0,0.0,0.49767441860465117,1.0,1.0
xrel18,20,0.25,vr<-0.40,237,0.5511627906976744,1.9851629258575794,0.0256006014762614,0.024039761153407738,0.006870118122986404,0.006373710061493218,0.09209041027083548,0.08962823646005454,6.096889263718975,7.225611737770232,0.5255813953488372,0.0,0.1194582466397035,0.11567455207891052,0.02202055897654521,0.018951985605150896,0.5671814169533762,0.5529072252526362,3.1673782825600516,13.935038500442909,0.5069767441860465,0.0,0.0,0.4930232558139535,1.0,1.0
hybrid26,80,0.5,vr<-0.40,237,0.5511627906976744,3.2987614530742686,0.0256006014762614,0.02364133773296181,0.006870118122986404,0.00606596137824,0.09209041027083548,0.08962823646005454,7.653194184192702,11.705137092997187,0.4790697674418605,0.009302325581395349,0.1194582466397035,0.1144831940122533,0.02202055897654521,0.018279257085809703,0.5671814169533762,0.5590435871609729,4.164679097003143,16.990040510417938,0.4511627906976744,0.013953488372093023,0.013953488372093023,0.4418604651162791,1.114214255888984,1.4175763131983483
hybrid26,10,0.25,vr<-0.40,237,0.5511627906976744,2.438456032806942,0.0256006014762614,0.023702706258210946,0.006870118122986404,0.006372713557853815,0.09209041027083548,0.08827461004225295,7.413479014586077,7.240116635962146,0.5325581395348837,0.0,0.1194582466397035,0.11536606104456978,0.02202055897654521,0.01920241888323721,0.5671814169533762,0.5535777908602705,3.4256200055205133,12.797768196119307,0.5209302325581395,0.0,0.0,0.5069767441860465,1.0,1.0
