rank,index,distance,category_id,category,source_row_idx,r_pair,v_rad_norm,v_tan_norm,min_r_ias,min_r_nonn,relE_nonn,pos_residual_rms,vel_residual_rms,pos_resid_cos_to_event,vel_resid_cos_to_event
18,611,3.0128362152001062,1,weak_side,4899,0.13932938873767853,-0.2590142488479614,0.8316190838813782,0.07004472613334656,0.13932938873767853,0.027703309431672096,0.25262168049812317,2.256896495819092,0.39204185696273036,0.22759960098408294
19,1423,3.0191926776160605,1,weak_side,4283,0.1312129646539688,-0.45728641748428345,0.9182716608047485,0.07652448862791061,0.10227693617343903,0.03542766347527504,0.10697537660598755,0.35469552874565125,-0.42189639728019085,-0.9023610334364296
20,260,3.041999112337233,2,recede,4696,0.10504055768251419,0.5767446756362915,0.874255359172821,0.10504055768251419,0.10504055768251419,0.004443490412086248,0.009187215007841587,0.03738195821642876,0.12216460485532832,-0.9582933215866127
21,1076,3.045067188971546,1,weak_side,4292,0.11929167062044144,-0.10174819082021713,0.8650079965591431,0.07057034224271774,0.09935615211725235,0.0020208563655614853,0.06669723242521286,0.5281133651733398,0.2657499108500149,-0.6984767065195016
22,505,3.0591474938658045,1,weak_side,4725,0.1280537098646164,0.12905137240886688,0.8813632726669312,0.0799657478928566,0.12270594388246536,0.02433241717517376,0.08315467834472656,1.043044924736023,0.5533336346233436,0.5870933253484742
23,41,3.069200573840851,1,weak_side,4368,0.12044818699359894,-0.08487078547477722,0.7817656397819519,0.054152440279722214,0.10363305360078812,0.029282085597515106,0.11767610907554626,1.634334921836853,0.3489561857908791,0.46191336638868113
24,578,3.090977199324031,1,weak_side,4292,0.11929167062044144,-0.10174819082021713,0.8650079965591431,0.07057368755340576,0.09935793280601501,0.0009104924974963069,0.06669417023658752,0.5281052589416504,-0.3707743824493467,0.8889442263129602
25,120,3.1030143952746285,1,weak_side,4725,0.1280537098646164,0.12905137240886688,0.8813632726669312,0.07996038347482681,0.12270644307136536,0.022446652874350548,0.08315511047840118,1.043046236038208,0.4287694491374193,-0.6126816793151
26,1768,3.103672927103776,0,strong_approach,6593,0.11351071298122406,-0.7082067131996155,0.8701252937316895,0.052677132189273834,0.07537027448415756,0.023166757076978683,0.0826854333281517,0.15926553308963776,0.8156431130584499,-0.1818895086487408
27,933,3.1132699203629457,1,weak_side,4561,0.06524553894996643,0.19673800468444824,1.0063295364379883,0.055169813334941864,0.06524553894996643,0.04707728326320648,0.08376835286617279,0.5519046783447266,0.890668002679154,-0.6722589791005112
28,284,3.1182612634377342,1,weak_side,4539,0.10008791089057922,-0.208480104804039,0.9002994298934937,0.06413460522890091,0.08857743442058563,0.040505550801754,0.03911267966032028,0.9151930809020996,0.7983904961588517,0.9607032764607348
29,679,3.1306729631816,2,recede,4801,0.12154348194599152,0.34649401903152466,0.8963149189949036,0.08953221887350082,0.10576150566339493,0.003592743771150708,0.01132277026772499,0.10247978568077087,0.8144725131391111,0.9333965743584144
30,509,3.131468684228352,2,recede,4696,0.10504055768251419,0.5767446756362915,0.874255359172821,0.10504055768251419,0.10504055768251419,0.012936758808791637,0.009107719175517559,0.03713620454072952,0.5259328128593014,0.6331921893050223
31,702,3.1336719417685983,1,weak_side,4725,0.1280537098646164,0.12905137240886688,0.8813632726669312,0.07996542751789093,0.12270601093769073,0.024169590324163437,0.08315462619066238,1.0430455207824707,-0.6298091448289276,-0.13465635220217453
32,1698,3.133982821004362,0,strong_approach,6593,0.11351071298122406,-0.7082067131996155,0.8701252937316895,0.05260350927710533,0.07536513358354568,0.00037676075589843094,0.08343250304460526,0.1604488641023636,-0.5544212756701571,-0.7719326899445818
33,1486,3.137836065056129,1,weak_side,4221,0.14624935388565063,-0.18970884382724762,1.0790923833847046,0.1349494606256485,0.1385606825351715,0.014777857810258865,0.014568289741873741,0.06044919788837433,-0.641950712334933,0.19381052293802045
34,351,3.13970863451278,1,weak_side,4716,0.1205565556883812,-0.548545241355896,0.8654121160507202,0.061018206179142,0.09634625166654587,0.01856098137795925,0.05153748020529747,0.32861992716789246,0.005624336509980914,0.05214718866917102
35,230,3.140447817201446,2,recede,4797,0.139199361205101,0.5741727948188782,0.879688560962677,0.139199361205101,0.139199361205101,0.004014888778328896,0.015493392013013363,0.056397341191768646,-0.11128852542776632,-0.4068816767221284
36,362,3.143163216298305,1,weak_side,4584,0.10019611567258835,-0.09952019155025482,0.9177272915840149,0.0713716521859169,0.10019611567258835,0.0340033657848835,1.2527847290039062,1.2081111669540405,-0.8687918538472744,-0.12533494407976828
37,444,3.1479531143682267,0,strong_approach,6636,0.11350103467702866,-0.668920636177063,0.8777583241462708,0.053918417543172836,0.09817420691251755,0.010673066601157188,0.07604094594717026,0.5650092959403992,-0.05440899253292019,0.8698335807019761
38,1560,3.148987196286531,0,strong_approach,6593,0.11351071298122406,-0.7082067131996155,0.8701252937316895,0.052682194858789444,0.07537533342838287,0.007931738160550594,0.08267131447792053,0.15912380814552307,0.669902304689089,0.7118757146847793
39,1135,3.156438640878031,1,weak_side,4368,0.12044818699359894,-0.08487078547477722,0.7817656397819519,0.05415242165327072,0.10363301634788513,0.02899172343313694,0.11767613142728806,1.6343348026275635,-0.4910990533711892,0.1637932122429889
40,484,3.1638359384027344,1,weak_side,4292,0.11929167062044144,-0.10174819082021713,0.8650079965591431,0.07055795937776566,0.09934757649898529,0.0007350018713623285,0.06671150773763657,0.528050422668457,0.557508074841761,0.23995501620642484
