rank,index,distance,category_id,category,source_row_idx,r_pair,v_rad_norm,v_tan_norm,min_r_ias,min_r_nonn,relE_nonn,pos_residual_rms,vel_residual_rms,pos_resid_cos_to_event,vel_resid_cos_to_event
12,2854,0.18171011356607275,0,strong_approach,-2,0.13699914515018463,-0.9256042838096619,0.8753427863121033,0.056943379342556,0.06038997694849968,0.0007463899091817439,0.003947567194700241,0.024240486323833466,0.19373217387494293,0.1900810216388399
13,2686,0.1831176194228651,0,strong_approach,-2,0.13700644671916962,-0.9925711154937744,0.9085990786552429,0.05924392491579056,0.06565222889184952,0.0003012200759258121,0.0051969015039503574,0.024733293801546097,0.8747322205015838,0.09691321018002848
14,2712,0.18710880787233253,0,strong_approach,-2,0.14126263558864594,-1.0568978786468506,0.9199696183204651,0.06041420251131058,0.0650678277015686,0.00022341712610796094,0.007917329668998718,0.02911156788468361,0.9141769977514633,0.9050068924919651
15,2741,0.18977201771430877,0,strong_approach,-2,0.1356040984392166,-0.9511235356330872,0.8770948648452759,0.055912695825099945,0.05907585471868515,0.0021304937545210123,0.002300485735759139,0.018659336492419243,0.5819050866181712,0.9875847459688714
16,2520,0.19186618132796715,0,strong_approach,-2,0.13515448570251465,-1.0022046566009521,0.8946593403816223,0.05638633295893669,0.061361294239759445,0.0007844167994335294,0.00947684794664383,0.03788452968001366,0.8914746253549746,0.7715386721070644
17,2765,0.19223026957109943,0,strong_approach,-2,0.1355566531419754,-0.9369561076164246,0.8649097681045532,0.05500587075948715,0.062393058091402054,0.0035996888764202595,0.013273440301418304,0.04258424788713455,-0.8265007293936978,-0.851550684891625
18,2626,0.1943021851956001,0,strong_approach,-2,0.1444154679775238,-1.06649649143219,0.864006519317627,0.0554230660200119,0.06102113425731659,0.0017398474738001823,0.010975280776619911,0.04671149328351021,0.8691408732637405,0.8893598029209818
19,2399,0.19605594170744065,0,strong_approach,-2,0.13816602528095245,-1.0491843223571777,0.9302147030830383,0.06042218208312988,0.06627953797578812,0.00028648352599702775,0.004304775036871433,0.020592978224158287,-0.7337129898099055,0.10299382616117317
20,2500,0.1969500855151024,0,strong_approach,-2,0.1350630223751068,-0.9834784865379333,0.8902231454849243,0.056634142994880676,0.06162510812282562,0.001758253900334239,0.007742778398096561,0.03271220251917839,-0.6902683292944556,-0.8435384749029573
21,2534,0.2004203078997918,0,strong_approach,-2,0.1401292234659195,-1.0844720602035522,0.9339079260826111,0.0607130341231823,0.07141441106796265,0.0009414281812496483,0.014163197949528694,0.04375613480806351,-0.8678536276626451,-0.8266211504668981
22,2829,0.2039780649151722,0,strong_approach,-2,0.13869285583496094,-1.1627882719039917,0.9360978603363037,0.05798901990056038,0.06330124288797379,0.0015522502362728119,0.004307853523641825,0.019736334681510925,-0.5155007571641992,0.3540891561355678
23,2857,0.20443916631494763,0,strong_approach,-2,0.13764013350009918,-1.173540711402893,0.933236837387085,0.05712246522307396,0.06803132593631744,0.00037762222927995026,0.017127513885498047,0.05284285917878151,0.6937909219420425,0.7766396850920853
24,2501,0.20445393065787468,0,strong_approach,-2,0.13822253048419952,-1.038669228553772,0.9330000877380371,0.060859981924295425,0.06516419351100922,0.0007288181222975254,0.006388436537235975,0.025395024567842484,0.05667441935495436,0.05995809620522353
25,2642,0.2129301697719582,0,strong_approach,-2,0.13983114063739777,-0.9306221604347229,0.9120803475379944,0.0624556727707386,0.06566590070724487,0.00032055037445388734,0.0027750239241868258,0.018801597878336906,0.14534061144711657,0.04632455214808733
26,2805,0.21294446682674706,0,strong_approach,-2,0.1347702145576477,-1.1058374643325806,0.9173892140388489,0.056054580956697464,0.06033337861299515,0.0017951512709259987,0.006080253981053829,0.02504967525601387,-0.9560527568537524,-0.6101026896744327
27,2862,0.2132001887505423,0,strong_approach,-2,0.1405421942472458,-0.9910235404968262,0.9268621206283569,0.06253701448440552,0.0650595873594284,0.0009495605481788516,0.0016092747682705522,0.012495333328843117,0.4523223960239058,-0.245262998384696
28,2653,0.2135442917876742,0,strong_approach,-2,0.1418006271123886,-0.9861771464347839,0.9174851179122925,0.06242982670664787,0.06846736371517181,0.00047224570880644023,0.005812942981719971,0.028042910620570183,0.06158871206665155,-0.7799210724071748
29,2460,0.2250686526421223,0,strong_approach,-2,0.14059406518936157,-1.0454450845718384,0.9406154155731201,0.06252050399780273,0.06756900250911713,0.001083017443306744,0.005394310224801302,0.02443496324121952,0.5674878690495855,0.5501607287672834
30,2800,0.22664416482612876,0,strong_approach,-2,0.13924859464168549,-1.0096487998962402,0.9399943351745605,0.0629052221775055,0.06719935685396194,0.0005676147993654013,0.007154569495469332,0.028327971696853638,0.7977567062365748,-0.06013225849273749
31,2695,0.2322381980310282,0,strong_approach,-2,0.1442708671092987,-0.9473327398300171,0.8649086356163025,0.0580701008439064,0.06423203647136688,0.002885356079787016,0.010784070007503033,0.04333366081118584,0.9944315761585106,0.992169472602448
32,2652,0.23294727015732294,0,strong_approach,-2,0.13339871168136597,-1.0038576126098633,0.8910136222839355,0.05527160316705704,0.06019720062613487,0.0020632012747228146,0.007755377795547247,0.031914304941892624,0.4595661902839201,0.9770187306108163
33,2751,0.23472840316752305,0,strong_approach,-2,0.14033403992652893,-1.1840057373046875,0.9460130333900452,0.05935727432370186,0.06650485098361969,0.0055091846734285355,0.010183539241552353,0.031595971435308456,-0.14502961240579468,-0.059375145346743124
34,2796,0.23496393130604284,0,strong_approach,-2,0.14330802857875824,-1.1985554695129395,0.9221553206443787,0.058080945163965225,0.06293419748544693,0.0007670383783988655,0.00837111659348011,0.028272926807403564,-0.5176940401512619,-0.9922115334677868
35,2636,0.23658438563964243,0,strong_approach,-2,0.1405545026063919,-1.2089680433273315,0.943316638469696,0.0590977780520916,0.06145627051591873,0.00010927094263024628,0.0025533924344927073,0.014286362566053867,-0.5670037709040452,-0.6271371025914069
36,2743,0.2391760548743099,0,strong_approach,-2,0.13339953124523163,-0.9608655571937561,0.8776470422744751,0.0552227683365345,0.061080627143383026,0.0030336263589560986,0.012515624985098839,0.042910411953926086,0.48727035000144,0.5034692974546917
37,2593,0.24715536857754872,0,strong_approach,-2,0.1439933180809021,-0.9254716634750366,0.8840583562850952,0.06108672916889191,0.0630556270480156,0.005553295835852623,0.0010050790151581168,0.008273103274405003,0.7830385563953112,0.3139311825427771
38,2804,0.24820240137006286,0,strong_approach,-2,0.14311443269252777,-1.176044225692749,0.9347858428955078,0.059455130249261856,0.06652799993753433,0.010649519972503185,0.00980723649263382,0.030441200360655785,0.9022141233350093,0.8668763446528797
39,2375,0.24856806943738072,0,strong_approach,-2,0.1342649757862091,-0.9813369512557983,0.9157389998435974,0.0592813640832901,0.06796523183584213,0.005378418136388063,0.021182484924793243,0.06543338298797607,0.9407622576624399,0.27699872323834784
40,2447,0.2488148566415914,0,strong_approach,-2,0.14342336356639862,-1.0678024291992188,0.9328208565711975,0.06262265890836716,0.06700828671455383,3.713676778716035e-05,0.007157345302402973,0.026826273649930954,0.9071712327716055,0.9018374393706088
