t_yr,nearest_event_index,relative_to_entry,relative_to_exit,in_training_window,in_physical_window,in_post_to_physical_end,in_post_fixed,pos_noNN_err,pos_encounterNN_err,pos_gain_instant_pct,vel_noNN_err,vel_encounterNN_err,vel_gain_instant_pct
81.71634326865373,1,-0.8436567313448649,-1.3436567313448506,0,1,0,0,1.4580534264407272,1.4580534264407272,0.0,1.1716019268370346,1.1716019268370346,0.0
81.7363472694539,1,-0.8236527305446941,-1.32365273054468,0,1,0,0,1.4665936585989139,1.4665936585989139,0.0,1.1775879320041465,1.1775879320041465,0.0
81.75635127025406,1,-0.8036487297445376,-1.3036487297445234,0,1,0,0,1.4750481796022241,1.4750481796022241,0.0,1.1835395187857516,1.1835395187857516,0.0
81.77635527105421,1,-0.7836447289443811,-1.2836447289443669,0,1,0,0,1.4528904262553262,1.4528904262553262,0.0,1.1424586616437844,1.1424586616437844,0.0
81.79635927185437,1,-0.7636407281442246,-1.2636407281442104,0,1,0,0,1.4615110514286624,1.4615110514286624,0.0,1.1487164677625676,1.1487164677625676,0.0
81.81636327265454,1,-0.7436367273440538,-1.2436367273440396,0,1,0,0,1.4700465939236436,1.4700465939236436,0.0,1.1549409950862035,1.1549409950862035,0.0
81.8363672734547,1,-0.7236327265438973,-1.223632726543883,0,1,0,0,1.4784964795550184,1.4784964795550184,0.0,1.1611319598311776,1.1611319598311776,0.0
81.85637127425485,1,-0.7036287257437408,-1.2036287257437266,0,1,0,0,1.4557863671543205,1.4557863671543205,0.0,1.1227683569301916,1.1227683569301916,0.0
81.87637527505501,1,-0.6836247249435843,-1.18362472494357,0,1,0,0,1.4643915596343597,1.4643915596343597,0.0,1.1292529529767894,1.1292529529767894,0.0
81.89637927585518,1,-0.6636207241434136,-1.1636207241433993,0,1,0,0,1.4729118953235218,1.4729118953235218,0.0,1.1357051049512108,1.1357051049512108,0.0
