r_AU,F_exact,F_no_nn_softened,F_simon_corrected,c_pred,rel_err_no_nn_softened,rel_err_simon_corrected
2.383080179030000351e-05,1.760851335374099389e+07,8.743335762271275598e+03,3.451506369864885346e+05,3.947585296630859375e+01,9.995034597420791034e-01,9.803986497864589644e-01
2.403658141814669563e-05,1.730830736358445138e+07,8.817396202399997492e+03,3.478097921803755453e+05,3.944586181640625000e+01,9.994905685450818922e-01,9.799050372243710560e-01
2.424413795873049936e-05,1.701321955885988474e+07,8.892058973913162845e+03,3.504845830592768616e+05,3.941545867919921875e+01,9.994773441356500365e-01,9.793992793752692716e-01
2.445348675574169177e-05,1.672316268007555790e+07,8.967328324015496037e+03,3.531730456359189702e+05,3.938442230224609375e+01,9.994637779649958587e-01,9.788812049256270242e-01
2.466464328536373493e-05,1.643805095541912131e+07,9.043208512424171204e+03,3.558754930442885379e+05,3.935279083251953125e+01,9.994498612678017757e-01,9.783505055429355668e-01
2.487762315741737007e-05,1.615780007539426535e+07,9.119703810878479999e+03,3.585944741984694265e+05,3.932084655761718750e+01,9.994355850568564792e-01,9.778067266258262391e-01
2.509244211651455428e-05,1.588232716788985953e+07,9.196818502630958392e+03,3.613281672461483395e+05,3.928838729858398438e+01,9.994209401175651042e-01,9.772496710698250766e-01
2.530911604322241595e-05,1.561155077367407270e+07,9.274556881919656007e+03,3.640751107410456752e+05,3.925525665283203125e+01,9.994059170023288363e-01,9.766791194533351872e-01
2.552766095523720851e-05,1.534539082230632938e+07,9.352923253420940455e+03,3.668380022017201991e+05,3.922174835205078125e+01,9.993905060247911809e-01,9.760945806822671766e-01
2.574809300856848623e-05,1.508376860845986754e+07,9.431921931682434661e+03,3.696109940627828473e+05,3.918724060058593750e+01,9.993746972539480078e-01,9.754961108422544047e-01
2.597042849873323431e-05,1.482660676864828169e+07,9.511557240535454184e+03,3.724040764409018448e+05,3.915279769897460938e+01,9.993584805081195954e-01,9.748827171144531789e-01
