time,rmin_ias15,rmin_noNN,rmin_v4,pair_ias15,pair_noNN,pair_v4,err_noNN,err_v4
2.562512502500500133e+01,9.120874055327369279e-01,9.148298704850845731e-01,9.148298704850845731e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.853114770498506120e-02,1.853114770498506120e-02
2.564512902580516140e+01,9.167927786259807421e-01,9.239655691189068154e-01,9.239655691189068154e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.613029509001099454e-02,1.613029509001099454e-02
2.566513302660532148e+01,9.213502599811532745e-01,9.239655691189068154e-01,9.239655691189068154e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.881489949935552172e-02,1.881489949935552172e-02
2.568513702740548155e+01,9.257596407055478371e-01,9.325110314445169690e-01,9.325110314445169690e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.624166555751965779e-02,1.624166555751965779e-02
2.570514102820564162e+01,9.300207446626302943e-01,9.325110314445169690e-01,9.325110314445169690e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.908168572890432679e-02,1.908168572890432679e-02
2.572514502900580169e+01,9.341334250363174663e-01,9.404649562841718158e-01,9.404649562841718158e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.635087549828791870e-02,1.635087549828791870e-02
2.574514902980596176e+01,9.380975611778593626e-01,9.404649562841718158e-01,9.404649562841718158e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.933166340543934769e-02,1.933166340543934769e-02
2.576515303060612183e+01,9.419130557119850256e-01,9.478264495759319841e-01,9.478264495759319841e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.645668088901123052e-02,1.645668088901123052e-02
2.578515703140628190e+01,9.455798318810534342e-01,9.478264495759319841e-01,9.478264495759319841e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.956498373922471029e-02,1.956498373922471029e-02
2.580516103220644197e+01,9.490978311078380747e-01,9.545949379322709039e-01,9.545949379322709039e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.655798504128120491e-02,1.655798504128120491e-02
2.582516503300660204e+01,9.524670107593199431e-01,9.545949379322709039e-01,9.545949379322709039e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.978179124297176419e-02,1.978179124297176419e-02
