step_idx,substep_idx,t_yr,dt_step,pair_i,pair_j,r_au,v_rad_norm,v_tan_norm,m_i,m_j,c_pred,c_anal_softening,gate_fallback,strong_approach,n_zone3_pairs_this_step,encounter_gate_suppressed
6712,0,33.559999999998716,0.005,1,2,0.1244772093698436,-1.2763634733041163,0.3806975891719921,0.01,0.005,1.016518024632324,1.0000087127391588,False,True,1,False
6713,0,33.56499999999872,0.005,1,2,0.1222538953994599,-1.2742592456337292,0.38549750658528315,0.01,0.005,1.0163673137734728,1.0000090325216298,False,True,1,False
6714,0,33.56999999999872,0.005,1,2,0.12001382784555649,-1.272241409095032,0.3903890538305236,0.01,0.005,1.0162477791445461,1.0000093728544146,False,True,1,False
6715,0,33.574999999998724,0.005,1,2,0.11775619088794242,-1.2703062295707257,0.3953803090634753,0.01,0.005,1.0161630199035296,1.0000097356953483,False,True,1,False
6716,0,33.579999999998726,0.005,1,2,0.11548012549888183,-1.2684497515377322,0.4004801860217318,0.01,0.005,1.016117802455862,1.0000101232510425,False,True,1,False
6717,0,33.58499999999873,0.005,1,2,0.11318472535726072,-1.2666677743796995,0.40569853844518716,0.01,0.005,1.016117173419102,1.0000105380168465,False,True,1,False
6718,0,33.58999999999873,0.005,1,2,0.11086903225620923,-1.2649558087067916,0.41104628141007377,0.01,0.005,1.0161670347864207,1.0000109828246564,False,True,1,False
6719,0,33.594999999998734,0.005,1,2,0.10853203093228009,-1.2633090332488541,0.41653553289722334,0.01,0.005,1.0162740351035866,1.0000114609003963,False,True,1,False
6720,0,33.59999999999874,0.005,1,2,0.10617264321916645,-1.26172224008496,0.42217977971537113,0.01,0.005,1.016445553899807,1.000011975933517,False,True,1,False
6721,0,33.60499999999874,0.005,1,2,0.10378972142004238,-1.2601897670699949,0.4279940728816448,0.01,0.005,1.0166898905732606,1.0000125321615037,False,True,1,False
6722,0,33.60999999999874,0.005,1,2,0.10138204076721188,-1.2587054179573265,0.4339952588472169,0.01,0.005,1.017016102792634,1.0000131344732694,False,True,1,False
6723,0,33.614999999998744,0.005,1,2,0.09894829081417719,-1.2572623600238302,0.4402022546049494,0.01,0.005,1.017434197805452,1.0000137885364948,False,True,1,False
6724,0,33.61999999999875,0.005,1,2,0.09648706557360504,-1.2558530002407693,0.4466363768700916,0.01,0.005,1.0179548438511927,1.000014500955539,False,True,1,False
6725,0,33.62499999999875,0.005,1,2,0.09399685217808908,-1.254468823782879,0.4533217383513011,0.01,0.005,1.018589397622536,1.0000152794687505,False,True,1,False
6726,0,33.62999999999875,0.005,1,2,0.09147601779617462,-1.2531001910609199,0.4602857278745344,0.01,0.005,1.0193501003422343,1.0000161331969517,False,True,1,False
6727,0,33.634999999998755,0.005,1,2,0.0889227944665348,-1.2517360844783052,0.46755959617327275,0.01,0.005,1.020250202193516,1.0000170729590911,False,True,1,False
6728,0,33.63999999999876,0.005,1,2,0.08633526143342363,-1.250363787134098,0.47517917598226145,0.01,0.005,1.0213049440813433,1.0000181116769216,False,True,1,False
6729,0,33.64499999999876,0.005,1,2,0.08371132444788197,-1.2489684918401722,0.48318577446711297,0.01,0.005,1.0225322687293237,1.0000192648989998,False,True,1,False
6730,0,33.64999999999876,0.005,1,2,0.08104869135004487,-1.2475328076829852,0.4916272890556654,0.01,0.005,1.0239549745801437,1.0000205514866,False,True,1,False
6731,0,33.654999999998765,0.005,1,2,0.07834484303655684,-1.2460361641461324,0.5005596161254363,0.01,0.005,1.0256019426967566,1.000021994522147,False,True,1,False
6732,0,33.65999999999877,0.005,1,2,0.07559699865653655,-1.2444540420557362,0.5100484482054388,0.01,0.005,1.0275100416926026,1.0000236225279366,False,True,1,False
6733,0,33.66499999999877,0.005,1,2,0.07280207355970489,-1.242756977605066,0.5201715932462756,0.01,0.005,1.0297265585486317,1.0000254711242211,False,True,1,False
6734,0,33.66999999999877,0.005,1,2,0.06995662804851562,-1.2409092520798688,0.5310220055156515,0.01,0.005,1.0323122515630105,1.000027585320175,False,True,1,False
6735,0,33.674999999998775,0.005,1,2,0.06705680435327914,-1.2388671349819453,0.5427118018010089,0.01,0.005,1.0353474038640953,1.0000300227338126,False,True,1,False
6736,0,33.67999999999878,0.005,1,2,0.0640982482920107,-1.236576556049347,0.555377666011755,0.01,0.005,1.0389417197085498,1.000032858204234,False,True,1,False
6737,0,33.68499999999878,0.005,1,2,0.0610760106060919,-1.233970023151389,0.5691882491950601,0.01,0.005,1.0432470694340528,1.0000361905400883,False,True,1,False
