t_yr,ias15_rmin,noNN_rmin,unguarded_rmin,guarded_rmin,ias15_pair,noNN_pair,unguarded_pair,guarded_pair,noNN_err,unguarded_err,guarded_err,unguarded_minus_noNN,guarded_minus_noNN
74.61492298459692,0.956837679233487,0.6718888867951196,0.729408048758332,0.7712277637346981,0-1,0-2,0-2,0-1,2.0103262609052885,1.1524542723202011,0.9034559794440267,-0.8578719885850874,-1.1068702814612619
74.63492698539709,0.9601689468021837,0.6844145438169288,0.7279081514208258,0.7704080292627243,0-1,0-2,0-2,0-1,2.017336739309349,1.1439531901401143,0.9068762033165177,-0.8733835491692348,-1.1104605359928312
74.65493098619724,0.9634747278163107,0.6966549359094326,0.7265034166357651,0.7696747621200513,0-1,0-2,0-2,0-1,2.0240901233966175,1.1353512345540846,0.9103587007611281,-0.8887388888425329,-1.1137314226354893
74.6749349869974,0.9667538056486209,0.7086103224751047,0.7251958554964233,0.7690288791792069,0-1,0-2,0-2,0-1,2.0305919454159373,1.126650212534461,0.9138999104272549,-0.9039417328814763,-1.1166920349886824
74.69493898779756,0.9700049996734732,0.7202814176655915,0.7239873663979912,0.7684711977879877,0-1,0-2,0-2,0-1,2.0368475187024853,1.117852096757206,0.917496282837155,-0.9189954219452792,-1.1193512358653304
74.71494298859773,0.9732271645095247,0.7316692996288308,0.7228797280066452,0.7680024334911651,0-1,0-2,0-2,0-1,2.042861936886705,1.1089590257319801,0.921144286807081,-0.9339029111547248,-1.1217176500796238
74.73494698939788,0.9764191892578815,0.7427753354742451,0.7218745925374083,0.7676231980566326,0-1,0-2,0-2,0-1,2.048640076044945,1.0999733033029164,0.9248404156684611,-0.9486667727420284,-1.1237996603764837
74.75495099019804,0.9795799967380446,0.7536011191590853,0.7209734793905411,0.7673339978205794,0-1,0-2,0-2,0-1,2.054186598957721,1.090897397506069,0.9285811932732649,-0.9632892014516519,-1.125605405684456
74.7749549909982,0.9827085427237067,0.7641484200197178,0.7201777691948529,0.7671352323643017,0-1,0-2,0-2,0-1,2.059505960842154,1.0817339387747038,0.9323631797689002,-0.9777720220674502,-1.1271427810732537
74.79495899179837,0.9858038151803468,0.774419140091172,0.7194886983043519,0.7670271935331244,0-1,0-2,0-2,0-1,2.064602416078678,1.0724857174891835,0.9361829771291457,-0.9921166985894945,-1.1284194389495323
74.81496299259852,0.9888648335063305,0.7844152786968852,0.7189073537920274,0.7670100648056645,0-1,0-2,0-2,0-1,2.069480025569754,1.0631556808739837,0.9400372344289527,-1.0063243446957701,-1.1294427911408012
74.83496699339868,0.9918906477791165,0.7941389030644719,0.7184346689813115,0.7670839210193021,0-1,0-2,0-2,0-1,2.074142664458485,1.0537469292503738,0.9439226528522582,-1.020395735208111,-1.1302200116062266
74.85497099419884,0.9948803380079408,0.8035921239453551,0.7180714195519298,0.7672487284553255,0-1,0-2,0-2,0-1,2.078594030004173,1.0442627116593546,0.9478359904234072,-1.0343313183448186,-1.130758039580766
74.87497499499901,0.9978330133942782,0.8127770753965071,0.7178182202524592,0.7675043452847453,0-1,0-2,0-2,0-1,2.0828376494647847,1.0347064208755086,0.9517740664541887,-1.048131228589276,-1.131063583010596
74.89497899579916,1.0007478116011879,0.8216958980294723,0.7176755222470286,0.7678505223733241,0-1,0-2,0-2,0-1,2.0868768878769184,1.0250815878383663,0.9557337657000311,-1.061795300038552,-1.1311431221768873
74.91498299659932,1.0036238980325836,0.8303507251518074,0.7176436111182871,0.7682869044419224,0-1,0-2,0-2,0-1,2.0907149556548372,1.0153918755336335,0.9597120422203961,-1.0753230801212037,-1.131002913434441
74.93498699739948,1.0064604651232743,0.8387436713242721,0.7177226055431064,0.7688130315758862,0-1,0-2,0-2,0-1,2.0943549159538657,1.0056410723620555,0.9637059229400138,-1.0887138435918102,-1.130648993013852
74.95499099819965,1.0092567316405952,0.8468768229376612,0.7179124566515647,0.7694283410748991,0-1,0-2,0-2,0-1,2.097799691761423,0.9958330850387328,0.9677125109091184,-1.1019666067226903,-1.1300871808523048
74.9749949989998,1.0120119419982805,0.8547522304794245,0.718212948073666,0.7701321696325367,0-1,0-2,0-2,0-1,2.101052072692649,0.9859719310702545,0.9717289882624368,-1.1150801416223945,-1.129323084430212
74.99499899979996,1.0147253655832071,0.8623719022148593,0.718623696672096,0.7709237558327189,0-1,0-2,0-2,0-1,2.104114721477793,0.976061730861021,0.9757526188782025,-1.128052990616772,-1.1283621025995907
75.01500300060012,1.0173962960954717,0.8715398458754668,0.7192913303954895,0.7720353337694588,0-1,0-2,0-2,0-1,2.1083342092847035,0.9630847971348696,0.9811795753056161,-1.145249412149834,-1.1271546339790874
75.03500700140029,1.0200240509022631,0.8785912028381974,0.7199479037120986,0.7730211020711295,0-1,0-2,0-2,0-1,2.110997391697208,0.9530610294831504,0.9852008746337252,-1.1579363622140573,-1.1257965170634825
75.05501100220044,1.022607970405865,0.8853930036765748,0.7207123588072049,0.7740915115800274,0-1,0-2,0-2,0-1,2.1134785287273514,0.9430022999354404,0.9892214254159876,-1.170476228791911,-1.124257103311364
